Ruta;Descripción;Km por Viaje;Tarifa Vigente
;CARTAGO-COPALCHI;19,7;960
;TARIFA MINIMA;0;610
;;;
132;LA GUARIA-SANTA ELENA-LOMA LARGA-RIO CONEJO-SAN JUAN SUR;(GPS);
;LA GUARIA-SANTA ELENA-LOMA LARGA-RIO CONEJO-SAN JUAN SUR-CALLE ABARCA-EL ROSARIO-CALLE VALVERDE-LA GUARIA-GUADARRAMA-SAN JUAN NORTE;13,7;730
;;;
127;SAN JOSE-CIUDAD COLON   EXT Bº SAN BOSCO;(GPS);
;SAN JOSE-Bº SAN BOSCO;24,1;490
;SAN JOSE-CIUDAD COLON;21,08;440
;TARIFA MINIMA;0;440
;PERIFERICA CIUDAD COLON;8,4;130
;;;
145;SAN JOSE-PURISCAL (SERVICIO REGULAR);(GPS);
;SAN JOSE-PURISCAL;41,3;935
;SAN JOSE-SAN ANTONIO DE PURISCAL;38,3;785
;SAN JOSE-GUAYABO;33,39;735
;SAN JOSE-EL ALTO;30,69;670
;SAN JOSE-QUEBRADAS;26,5;520
;SAN JOSE-CIUDAD COLON;21,12;505
;CIUDAD COLON-PURISCAL;20,18;430
;;;
145 BS;SAN JOSE-PURISCAL (BUSETAS);(GPS);
;SAN JOSE-PURISCAL;41,3;935
;;;
145 SD;SAN JOSE-PURISCAL (SERVICIO DIRECTO);(GPS);
;SAN JOSE-PURISCAL;41,3;935
;;;
159;SAN JOSE-TABARCIA-PALMICHAL DE ACOSTA;(GPS);
;SAN JOSE-PALMICHAL;42,3;875
;SAN JOSE-TABARCIA;37,36;795
;SAN JOSE-MORADO;34,86;680
;SAN JOSE-EL ALTO;30,69;660
;SAN JOSE-CIUDAD COLON;21,12;500
;SAN JOSE-SANTA ANA;13,5;430
;CIUDAD COLON-TABARCIA;16,24;360
;CIUDAD COLON-EL ALTO;9,57;360
;EL ALTO-MORADO-TABARCIA-PALMICHAL;11,61;360
;TARIFA MINIMA;0;430
;;;
158;SAN JOSE-TABARCIA-PIEDRAS BLANCAS DE MORA;(GPS);
;SAN JOSE-PIEDRAS BLANCAS;40,11;895
;SAN JOSE-TABARCIA;37,36;705
;SAN JOSE-MORADO;34,86;605
;SAN JOSE-EL ALTO;30,69;590
;TABARCIA-PIEDRAS BLANCAS;2,75;290
;TARIFA MINIMA;0;395
;;;
179;SAN ISIDRO DE EL GRAL-SAN PEDRO-TAMBOR-SAN RAFAEL;(GPS);
;SAN ISIDRO-SAN RAFAEL;36,58;645
;SAN ISIDRO-TAMBOR;32,5;645
;SAN ISIDRO-LOS ANGELES;31,82;455
;SAN ISIDRO-SAN PEDRO;29,02;375
;SAN ISIDRO-ENTRADA A SAN PEDRO;25,19;340
;SAN ISIDRO-ENTRADA A CAJON;21,09;340
;SAN ISIDRO-NAVAJUELAS;18,45;290
;SAN ISIDRO-PACUAR;14,05;305
;SAN ISIDRO-REPUNTA;9,55;235
;SAN ISIDRO-PALMARES;7,03;155
;SAN ISIDRO-LOURDES;3,58;155
;SAN PEDRO-SAN RAFAEL;7,56;195
;TARIFA MINIMA;0;125
;;;
179;SAN ISIDRO DE EL GRAL-FATIMA-ZAPOTAL   EXT COLONIA CRISTO REY;(GPS);
;SAN ISIDRO-COLONIA CRISTO REY;42,5;1170
;SAN ISIDRO-ZAPOTAL;38,26;1170
;SAN ISIDRO-LA HORTENSIA;37,75;1090
;SAN ISIDRO-SANTIAGO;36,09;1040
;SAN ISIDRO-FATIMA;35,08;910
;SAN ISIDRO-LA GUARIA;33,48;850
;SAN ISIDRO-LA UNION;30,45;670
;SAN ISIDRO-LA FORTUNA;27,68;635
;SAN ISIDRO-CAJON;21,96;555
;SAN ISIDRO-PACUAR;14,94;490
;SAN ISIDRO-REPUNTA;10,31;370
;;;
134;SAN ISIDRO DE EL GRAL-BARRIO LA LUCHA-UNIVERSIDAD-LA BONITA-CHIMIROL-SAN GERARDO-SAN RAMON SUR-SAN RAMON NORTE-LOS ANGELES-SANTA ROSA-PUEBLO NUEVO-LAPIEDRA-CALLE MORA-SAN CAYETANO-SAVEGRE Y VICEVERSA;(GPS);
;SAN ISIDRO-SAVEGRE;23,7;1700
;SAN ISIDRO-LA FILA;18,2;1405
;SAN ISIDRO-ENTRADA A EL CHIRICANO;14,1;1010
;SAN ISIDRO-SAN CAYETANO;13,7;800
;SAN ISIDRO-PULPERIA TALI;13,4;730
;SAN ISIDRO-SANTA MARTA;12,1;730
;SAN ISIDRO-CALLE MORA;11,94;730
;SAN ISIDRO-RIO NUEVO;11,7;730
;SAN ISIDRO-LA HAMACA;10,4;585
;SAN ISIDRO-EL CORRAL;10;585
;SAN ISIDRO-SANTA ROSA;8,7;585
;SAN ISIDRO-LOS PADILLA;8;470
;SAN ISIDRO-QUEBRADA SANTA ROSA;7,3;470
;SAN ISIDRO-SILENCIO;6,3;470
;SAN ISIDRO-ALTO GAMBOA;5,5;470
;SAN ISIDRO-CEMENTERIO;5,58;415
;SAN ISIDRO-VILLANUEVA;4,2;335
;SAN ISIDRO-BAJOS DEL RIO;3,4;335
;SAN ISIDRO-PEDREGOSO;2,7;290
;;;
;;;
134;SAN ISIDRO DE EL GRAL-RIVAS-PUEBLO NUEVO-BUENA VISTA-LA PIEDRA;;
;SAN ISIDRO-LA PIEDRA;20;1030
;SAN ISIDRO-BUENA VISTA;17;925
;SAN ISIDRO-PUEBLO NUEVO;12;565
;SAN ISIDRO-RIVAS;8;405
;TARIFA MINIMA;0;235
;;;
134;SAN ISIDRO DE EL GRAL-SAN RAMON NORTE-LOS ANGELES DE PARAMO;(GPS);
;SAN ISIDRO DE EL GRAL-LOS ANGELES DE PARAMO;28,37;1450
;SAN ISIDRO DE EL GRAL-SANTO TOMAS;25,39;1450
;SAN ISIDRO DE EL GRAL-SANTA EDUVIGUES;22,3;1330
;SAN ISIDRO DE EL GRAL-SAN RAMON NORTE;10,68;745
;SAN ISIDRO DE EL GRAL-FRONTERA;9,42;640
;SAN ISIDRO DE EL GRAL-SAN RAMON SUR;8,16;640
;SAN ISIDRO DE EL GRAL-BERLIN;7,47;595
;SAN ISIDRO DE EL GRAL-PROVIDENCIA;6,37;565
;SAN ISIDRO DE EL GRAL-PEDREGOSITO;5,98;565
;SAN ISIDRO DE EL GRAL-ARIZONA;4,72;345
;SAN ISIDRO DE EL GRAL-PEDREGOSO;2,93;235
;TARIFA MINIMA;0;235
;;;
134;SAN ISIDRO DE EL GRAL-CANAAN-SAN GERARDO;(GPS);
;SAN ISIDRO DE EL GRAL-SAN GERARDO;19,65;1010
;SAN ISIDRO DE EL GRAL-CANAAN;17,82;945
;SAN ISIDRO DE EL GRAL-TAJO;15,59;770
;SAN ISIDRO DE EL GRAL-CHIMIROL;14,12;650
;SAN ISIDRO DE EL GRAL-GUADALUPE;12,38;595
;SAN ISIDRO DE EL GRAL-RIVAS;10,26;405
;SAN ISIDRO DE EL GRAL-LA BONITA;5,28;400
;SAN ISIDRO DE EL GRAL-UNIVERSIDAD;3,74;400
;TARIFA MINIMA;0;235
;;;
134;SAN ISIDRO DEL GENERAL-B° LA LUZ DEL MUNDO-B° DOROTEA-B° LA LUCHA;(GPS);
;SAN ISIDRO-BARRIO LA LUCHA;3,75;300
;SAN ISIDRO-DOROTEA;3,09;290
;TARIFA MINIMA;0;235
;;;
135;SAN ISIDRO DE EL GRAL-PALMARES-PEÑAS BLANCAS;(GPS);
;SAN ISIDRO-PEÑAS BLANCAS;11,84;310
;SAN ISIDRO-PALMARES;8,6;200
;SAN ISIDRO-CAÑAVERAL;7,87;200
;SAN ISIDRO-BENEFICIO;6,45;140
;SAN ISIDRO-Bº LOURDES;4,55;140
;TARIFA MINIMA;0;130
;;;
136;SAN ISIDRO DE EL GRAL-SAN ANTONIO-EL AGUILA;(GPS);
;SAN ISIDRO-EL AGUILA;45,63;920
;SAN ISIDRO-ZAPOTAL;41,63;785
;SAN ISIDRO-PEJIBAYE;36,02;785
;SAN ISIDRO-SAN ANTONIO;34,71;785
;SAN ISIDRO-SAN MARCOS;32,6;720
;SAN ISIDRO-BOLIVIA;32,6;720
;SAN ISIDRO-MESAS;28,94;720
;SAN ISIDRO-SAN PABLO;23,83;585
;SAN ISIDRO-SAN RAFAEL;23,68;585
;SAN ISIDRO-MOLLEJONES;20,19;490
;SAN ISIDRO-LOS REYES;17,57;360
;SAN ISIDRO-LAS JUNTAS DE PACUARE;14,06;360
;  EXT SAN ISIDRO-EL SOCORRO;25,76;680
;SAN ISIDRO-VILLA ARGENTINA;28,37;680
;  EXT SAN ISIDRO-SAN CARLOS;27,18;680
;TARIFA MINIMA;0;145
;;;
137;SAN ISIDRO DE EL GRAL-LOS CHILES-QUIZARRA-SANTA ELENA;(GPS);
;SAN ISIDRO-SANTA ELENA;14,43;640
;SAN ISIDRO-QUIZARRA;17,85;640
;SAN ISIDRO-LA HERMOSA;7,72;350
;SAN ISIDRO-MARSELLA;6,12;350
;SAN ISIDRO-LOS CHILES;4,14;220
;TARIFA MINIMA;0;190
;;;
185;SAN ISIDRO DE EL GRAL-MIRAFLORES;(GPS);
;SAN ISIDRO-MIRAFLORES;10,9;415
;SAN ISIDRO-CEMENTERIO;7,73;415
;SAN ISIDRO-GENERAL VIEJO;7,1;350
;SAN ISIDRO-MARSELLA;6,12;350
;SAN ISIDRO-LOS CHILES;4,14;220
;GENERAL VIEJO-MIRAFLORES;3,8;190
;TARIFA MINIMA;0;190
;;;
138;SAN ISIDRO DE EL GRAL-SAN JUAN BOSCO-LA SUIZA-AGUAS BUENAS-CONCEPCION-ORATORIO;(GPS);
;SAN ISIDRO-AGUAS BUENAS;27,92;1180
;SAN ISIDRO-LA SUIZA;25,8;1050
;SAN ISIDRO-ORATORIO;25,25;920
;SAN ISIDRO-SAN JUAN BOSCO;23,12;710
;SAN ISIDRO-CONCEPCION;22,32;710
;SAN ISIDRO-LOS REYES;18,97;455
;SAN ISIDRO-ENTRADA A PACUARE;15,08;395
;TARIFA MINIMA;0;235
;;;
140;SAN ISIDRO DE EL GRAL-QUEBRADAS;(GPS);
;SAN ISIDRO-QUEBRADAS;7;180
;SAN ISIDRO-EL DIQUE;5,9;180
;SAN ISIDRO-PLAZA;5,3;180
;SAN ISIDRO-MONTENEGRO;3,7;180
;SAN ISIDRO-MORAZAN;3,8;180
;SAN ISIDRO-COLEGIO;1,9;180
;TARIFA MINIMA;0;180
;;;
;;;
140;SAN ISIDRO DE EL GRAL-PALMARES-REPUNTA-PACUAR;(GPS);
;SAN ISIDRO-PACUAR;16,2;410
;SAN ISIDRO-REPUNTA;12,4;305
;SAN ISIDRO-PALMARES;8,7;305
;SAN ISIDRO-CAÑAVERAL;8;245
;SAN ISIDRO-BENEFICIO;6,6;175
;SAN ISIDRO-Bº LOURDES;4,6;175
;SAN ISIDRO-VILLA LIGIA;3,3;175
;TARIFA MINIMA;0;175
;;;
140;SAN ISIDRO DE EL GRAL-URBANO;(GPS);
;SAN ISIDRO-PALMARES;8,8;325
;SAN ISIDRO-Bº LOS ANGELES;5,6;290
;SAN ISIDRO-BENEFICIO NEVERMANN;6,5;290
;SAN ISIDRO-MORAZAN;4,3;290
;SAN ISIDRO-VILLA LIGIA;2,7;290
;SAN ISIDRO-Bº LOURDES;3,9;290
;SAN ISIDRO-COLEGIO UNESCO;1,1;290
;SAN ISIDRO-HOYON;2,8;290
;TARIFA MINIMA;0;290
;;;
108;SAN ISIDRO DE EL GRAL-AEROPUERTO-LAS RANAS-ROSARIO DE PACUARE;;
;SAN ISIDRO-ROSARIO DE PACUARE;9;325
;SAN ISIDRO-LAS RANAS;6,2;325
;SAN ISIDRO-AEROPUERTO;4,8;290
;SAN ISIDRO-B° CRISTO REY;2,1;290
;;;
140 BS;SAN ISIDRO DE EL GRAL-PALMARES (BUSETAS);(GPS);
;SAN ISIDRO-PALMARES;8,8;325
;;;
140 EXT BS;SAN ISIDRO-SAN ANDRES-Bº BOSTON-TIERRA PROMETIDA-Bº COOPERATIVA;(GPS);
;SAN ISIDRO-SAN ANDRES-Bº BOSTON-T. PROMET.-COOPE.;5,1;290
;;;
140 EXT;SAN ISIDRO DE EL GRAL URBANO-BENEFICIO NEVERMANN x FINCA MUNICIPAL;(GPS);
;SAN ISIDRO-BENEFICIO NEVERMANN x FINCA MUNICIPAL;9;425
;SAN ISIDRO-LAS BRISAS x FINCA MUNICIPAL;5,3;320
;SAN ISIDRO-FINCA MUNICIPAL;4,7;320
;;;
141;SAN ISIDRO DE EL GRAL-LA PALMA-EL ROBLE;(GPS);
;SAN ISIDRO-EL ROBLE;8,6;250
;SAN ISIDRO-LA GUARIA;7;240
;SAN ISIDRO-LOS BAÑOS;9;240
;SAN ISIDRO-LA PALMA;5,6;205
;SAN ISIDRO-EL ALTO;6;205
;SAN ISIDRO-HOYON;3,6;205
;;;
172;SAN ISIDRO DE EL GENERAL - LAS TUMBAS - RIO DIAMANTE - SAN SALVADOR;(GPS);
;SAN ISIDRO - SAN SALVADOR;23,8;455
;SAN ISIDRO - RIO DIAMANTE;23,1;395
;SAN ISIDRO - LAS TUMBAS;19,7;365
;SAN ISIDRO - SAN CRISTOBAL;16,9;280
;SAN ISIDRO - LA PALMA;5,4;150
;;;
181;SAN ISIDRO DE EL GRAL-SAN JUAN DE DIOS;(GPS);
;SAN ISIDRO-SAN JUAN DE DIOS;27,3;680
;SAN ISIDRO-PLATANILLO;21;510
;SAN ISIDRO-SAN CRISTOBAL (TINAMASTE);17,2;430
;SAN ISIDRO-LA PALMA;5,4;125
;SAN ISIDRO-HOYON;3,5;125
;;;
610;SAN ISIDRO DE EL GRAL-HATILLO VIEJO-DOMINICAL-QUEPOS;(GPS);
;SAN ISIDRO-QUEPOS;79,13;2495
;SAN ISIDRO-LLORONA;66,74;2085
;SAN ISIDRO-SAVEGRE;59,06;1890
;SAN ISIDRO-BAHIA;56,27;1870
;SAN ISIDRO-LA UVITA;53,28;1870
;SAN ISIDRO-PLAYA HERMOSA;49,4;1870
;SAN ISIDRO-MATAPALO;49,87;1850
;SAN ISIDRO-HATILLO VIEJO;41,87;1755
;SAN ISIDRO-DOMINICAL;34,67;1540
;SAN ISIDRO-BARU;29,06;1300
;SAN ISIDRO-PLATANILLO;21,05;995
;SAN ISIDRO-SAN CRISTOBAL;17,29;785
;SAN ISIDRO-ALTO DE SAN JUAN;15,27;510
;SAN ISIDRO-ENTRADA PACUARITO;9,87;370
;SAN ISIDRO-LA PALMA;5,46;220
;DOMINICAL-BAHIA;21,6;700
;DOMINICAL-LA UVITA;18,61;700
;TARIFA MINIMA;0;195
;;;
142-143;SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES;(GPS);
;SAN JOSE-SAN ISIDRO DE CORONADO;10,35;295
;SAN ISIDRO-SAN RAFAEL;4,38;250
;SAN ISIDRO-SAN PEDRO;2,94;250
;SAN ISIDRO-SAN FRANCISCO;1,93;250
;SAN ISIDRO-DULCE NOMBRE;1,7;250
;SAN ISIDRO-PATIO DE AGUA;4,97;250
;PERIFERICA;3,5;255
;SAN ISIDRO-SAN ANTONIO;3,2;250
;SAN ISIDRO-EL RODEO;3,42;250
;SAN ISIDRO-LAS NUBES-CASCAJAL;10,4;295
;;;
144;SAN JOSE-FRAILES-LEON CORTES-TARRAZU-DOTA;(GPS);
;SAN JOSE-SANTA MARIA DE DOTA;68,9;1740
;SAN JOSE-SAN PABLO DE LEON CORTES;54,4;1740
;SAN JOSE-FRAILES;34,6;1165
;SAN JOSE-SANTA ELENA;30,9;1165
;SAN JOSE-RIO CONEJO;27,3;1165
;SAN JOSE-ROSARIO;24;850
;;;
154;SAN JOSE-EL EMPALME-DOTA-TARRAZU-LEON CORTES;(GPS);
;SAN JOSE-SAN PABLO DE LEON CORTES;78,9;2040
;SAN JOSE-SAN MARCOS DE TARRAZU;74,1;1910
;SAN JOSE-SANTA MARIA DE DOTA;67,5;1755
;SAN JOSE-EL EMPALME;30,7;1035
;SAN MARCOS DE TARRAZU-SAN PABLO DE LEON CORTES;4,8;255
;CARTAGO-SAN PABLO DE LEON CORTES;55,5;1570
;CARTAGO-SAN MARCOS DE TARRAZU;50,7;1475
;CARTAGO-SANTA MARIA DE DOTA;44,1;1350
;;;
154 EXT;EXT SAN MARCOS-SANTA MARTA;;
;SAN MARCOS DE TARRAZU-SANTA MARTA;5,1;355
;;;
154 SD;SAN JOSE-SAN PABLO DE LEON CORTES (SERVICIO DIRECTO);(GPS);
;SAN JOSE-SAN PABLO DE LEON CORTES;78,9;2040
;;;
156;SAN PABLO DE LEON CORTES-SANTA MARIA DE DOTA (PERIFERICA);(GPS);
;SAN PABLO DE LEON CORTES-SANTA MARIA DE DOTA;12,1;400
;SAN PABLO DE LEON CORTES-SAN MARCOS DE TARRAZU;5,51;260
;;;
146;PURISCAL - LAS DELICIAS - SAN ANTONIO DE TURRUBARES;(GPS);
;PURISCAL-SAN ANTONIO DE TURRUBARES;55,54;345
;PURISCAL-RIO TULIN;54,2;345
;PURISCAL-PUEBLO NUEVO;47,27;285
;PURISCAL-LA GLORIA;42,55;225
;PURISCAL-NARANJAL;39,55;225
;PURISCAL-GUARUMAL;35,02;225
;PURISCAL-SANTA ROSA;32,74;170
;PURISCAL-GUANACASTE;32,2;170
;PURISCAL-SAN RAMON;24,45;150
;PURISCAL-SALITRALES;21,2;150
;PURISCAL-LA PALMA;17,11;105
;PURISCAL-PAVONES;14,26;90
;PURISCAL-SANTA MARTA;10,45;90
;PURISCAL-LA LEGUA;6,15;85
;PURISCAL-CERBATANA;3,21;85
;;;
148;PURISCAL-POZOS;(GPS);
;PURISCAL-POZOS;7,17;250
;PURISCAL-CASCANTES;5,2;205
;PURISCAL-CAÑALES;4,03;195
;PURISCAL-CRUCE A POZOS;2,59;195
;PURISCAL-JUNQUILLO;1,56;195
;;;
151;PURISCAL-PEDERNAL-CANDELARITA-POLCA;(GPS);
;PURISCAL-POLCA;12,01;340
;PURISCAL-CANDELARITA;9,45;275
;PURISCAL-Bº LA CRUZ DE CANDELARITA;9,3;275
;PURISCAL-PEDERNAL;6,83;205
;TARIFA MINIMA;0;125
;;;
149;PURISCAL-DESAMPARADITOS-EL LLANO;(GPS);
;PURISCAL-EL LLANO;10,13;480
;PURISCAL-DESAMPARADITOS;6,61;360
;PURISCAL-CARIT;3,27;235
;TARIFA MINIMA;0;195
;;;
169;PURISCAL-CERBATANA-LA LEGUA;(GPS);
;PURISCAL-LA LEGUA;6,99;275
;PURISCAL-LA LEGUA ARRIBA;5,95;275
;PURISCAL-CERBATANA ABAJO;4,67;235
;PURISCAL-CERBATANA ;3,44;215
;PURISCAL-JUNQUILLO;1,77;215
;TARIFA MINIMA;0;210
;;;
148 A;SANTIAGO DE PURISCAL - SAN JUAN;(GPS);
;PURISCAL-SAN JUAN;3,96;385
;;;
150;PURISCAL-GRIFO ALTO-TURRUBARES;;
;PURISCAL-SAN FRANCISCO DE TURRUBARES;33,05;1125
;PURISCAL-SAN PEDRO DE TURRUBARES;26,5;660
;PURISCAL-SAN PABLO DE TURRUBARES;21,5;660
;PURISCAL-GRIFO ALTO;11;480
;PURISCAL-PIEDADES;7,2;375
;PURISCAL-BARBACOAS;5,2;215
;BARBACOAS-GRIFO ALTO;5,8;215
;BARBACOAS-PIEDADES;2;145
;PIEDADES-GRIFO ALTO;3,8;145
;SAN PABLO-SAN FRANCISCO;11,7;480
;SAN PABLO-SAN PEDRO;5;160
;SAN PEDRO-SAN FRANCISCO;6,7;375
;;;
160;SAN JOSE-SAN PABLO-SAN PEDRO DE TURRUBARES;;
;SAN JOSE-SAN PEDRO DE TURRUBARES;66,15;970
;SAN JOSE-SAN PABLO DE TURRUBARES;61,35;880
;SAN JOSE-GRIFO ALTO;51;740
;SAN JOSE-PIEDADES;47,3;695
;SAN JOSE-BARBACOAS;45,4;670
;SAN JOSE-PURISCAL;40,3;670
;TARIFA MINIMA PURISCAL-TURRUBARES;19,00053191;275
;;;
264 BS;OROTINA-SAN MATEO (BUSETAS);;
;OROTINA-SAN MATEO;4;145
;;;
265 BS;OROTINA-HACIENDA VIEJA (BUSETAS);;
;OROTINA-HACIENDA VIEJA;5;145
;;;
165;SAN ISIDRO DE EL GRAL-CAJON-PUEBLO NUEVO-SANTA TERESA;(GPS);
;SAN ISIDRO-SANTA TERESA;28,25;570
;SAN ISIDRO-PUEBLO NUEVO;26,44;400
;SAN ISIDRO-CAJON;22,55;425
;TARIFA MINIMA;0;270
;;;
607;SAN ISIDRO DE EL GRAL-BUENOS AIRES (SERVICIO REGULAR);(GPS);
;SAN ISIDRO-BUENOS AIRES (SERVICIO REGULAR);64,98;1145
;SAN ISIDRO-CEIBO;56,04;1075
;SAN ISIDRO-CAÑAS;48,51;915
;SAN ISIDRO-ENTRADA A VOLCAN;42,59;760
;SAN ISIDRO-CACAO;38,4;680
;SAN ISIDRO-CONVENTO;33,43;595
;SAN ISIDRO-LA UNION;27,62;595
;SAN ISIDRO-CAJON;21,07;525
;SAN ISIDRO-PACUARE;14,06;455
;;;
607 SD;SAN ISIDRO DE EL GRAL-BUENOS AIRES (DIRECTO);(GPS);
;SAN ISIDRO DE EL GENERAL-BUENOS AIRES (DIRECTO);64,98;1145
;;;
607 EXT;BUENOS AIRES-VOLCAN;(GPS);
;BUENOS AIRES-VOLCAN;25,13;550
;BUENOS AIRES-ENTRADA A VOLCAN;22,18;490
;BUENOS AIRES-EL PEJE;19,2;350
;BUENOS AIRES-SANTA MARTA;13,77;285
;BUENOS AIRES-CEIBO;8,65;240
;BUENOS AIRES-BOMBA;3,04;200
;ENTRADA A VOLCAN-VOLCAN;2,95;200
;TARIFA MINIMA;0;145
;;;
611;URBANO BUENOS AIRES DE PUNTARENAS   EXT SAN CARLOS;(GPS);
;  EXT BUENOS AIRES-SAN CARLOS;8,25;205
;BUENOS AIRES-BOMBA-COLEGIO-CLINICA ( URBANO );5,5;205
;;;
683;BUENOS AIRES-EL CEIBO-SANTA MARTA-EL SOCORRO-SAN RAFAEL-GUADALAJARA-SANTA ROSA;;
;BUENOS AIRES-SANTA ROSA;25,6;805
;BUENOS AIRES-GUADALAJARA;23,6;745
;BUENOS AIRES-SAN RAFAEL;22,2;705
;BUENOS AIRES-EL SOCORRO;19;600
;BUENOS AIRES-SANTA MARTA;13,8;435
;BUENOS AIRES-EL CEIBO;8,6;270
;TARIFA MINIMA;0;195
;;;
166;SAN ISIDRO DE EL GRAL- COCORÍ-PAVONES-LAS CENIZAS-LA ESPERANZA-LA ANGOSTURA;(GPS);
;SAN ISIDRO-BAJOS DEL RIO;10,3;445
;SAN ISIDRO-LA ANGOSTURA;13,7;445
;SAN ISIDRO-CENIZAS;8,1;260
;SAN ISIDRO-PAVONES;4,3;190
;TARIFA MINIMA;0;190
;;;
167;SAN ISIDRO DE EL GRAL-SAN RAFAEL NORTE - LA ESE;(GPS);
;SAN ISIDRO-LA ESE;12,2;460
;SAN ISIDRO-FINCA YANORI;9;375
;SAN ISIDRO-PIEDRA;7,9;375
;SAN ISIDRO-SAN RAFAEL;5,6;375
;SAN ISIDRO-EL RELLENO;4,2;375
;TARIFA MINIMA;0;355
;;;
140;SAN ISIDRO DE EL GRAL-PACUAR-LAS BRISAS DE CAJON;(GPS);
;SAN ISIDRO-LAS BRISAS;22,1;975
;SAN ISIDRO-PACUAR;13,8;785
;SAN ISIDRO-BENEFICIO;6,6;325
;SAN ISIDRO-Bº LOURDES;4,6;325
;;;
140;SAN ISIDRO DE EL GRAL-PISTA LA LAGUNA-LA CAÑADA;(GPS);
;SAN ISIDRO-COLEGIO DE PALMARES;11,2;485
;SAN ISIDRO-CALLE JARA;12;485
;SAN ISIDRO-ESCUELA LAGUNA;8,5;400
;SAN ISIDRO-PISTA MOTOCROSS;7;295
;SAN ISIDRO-BARRIO SAN FRANCISCO;5,5;295
;TARIFA MINIMA;0;290
;;;
193;GUAITIL-LA CRUZ-OCOCA-ALTO CALDERONES-ACOSTA;(GPS);
;GUAITIL-LA CRUZ-OCOCA-ALTO CALDERONES-ACOSTA;12,355;535
;TARIFA MINIMA;0;275
;;;
PERMISO BS;EL AGUILA DE PEREZ ZELEDON-COLINAS DE BORUCA;(GPS);
;EL AGUILA-COLINAS;17,9;785
;VERACRUZ-COLINAS;14,8;620
;GUAGARAL-COLINAS;9,1;435
;LOS ANGELES-COLINAS;4,1;180
;;;
;PROVINCIA DE ALAJUELA;;
;;;
200;SAN JOSE-ALAJUELA x PISTA;(GPS);
;SAN JOSE-ALAJUELA x PISTA;20,165;535
;;;
200;SAN JOSE-ALAJUELA x HEREDIA;(GPS);
;ALAJUELA-HEREDIA;15,53;535
;SAN JOSE-HEREDIA;12,04;580
;;;
200 EXT;ALAJUELA-SAN JUAN DE SANTA BARBARA;(GPS);
;ALAJUELA-SAN JUAN ARRIBA;10,425;255
;ALAJUELA-SAN JUAN CENTRO (ABAJO);7,78;255
;ALAJUELA-RIO SEGUNDO;4,48;255
;;;
1241;SAN JOSE-VOLCAN POAS;(GPS);
;SAN JOSE-VOLCAN POAS;49,12;2055
;ALAJUELA-VOLCAN POAS;29,795;1180
;;;
1258;ALAJUELA-LA AURORA DE HEREDIA;(GPS);
;ALAJUELA-LA AURORA DE HEREDIA;15,6;205
;;;
PERMISO;SAN JOSE-SAN JOAQUIN DE FLORES-PODER JUDICIAL;(GPS);
;SAN JOSE-SAN JOAQUIN DE FLORES-PODER JUDICIAL;16,94;430
;;;
200 BS;SAN JOSE-ALAJUELA x PISTA (MICROBUSES-BUSETAS);(GPS);
;SAN JOSE-ALAJUELA;21,25;555
;;;
200 MB;SAN JOSE-ALAJUELA x PISTA (MICROBUSES-BUSETAS);(GPS);
;SAN JOSE-ALAJUELA;21,25;555
;;;
201;SAN JOSE-GRECIA;(GPS);
;SAN JOSE-GRECIA;44,35;1095
;;;
201 BS;SAN JOSE-GRECIA (BUSETAS);(GPS);
;SAN JOSE-GRECIA;44,35;1095
;;;
230;ALAJUELA-GRECIA-NARANJO;(GPS);
;ALAJUELA-NARANJO;32,94;925
;ALAJUELA-SARCHI NORTE Y SUR;26,115;855
;ALAJUELA-GRECIA;19,62;715
;ALAJUELA-TACARES;11,06;485
;ALAJUELA-CARRILLOS DE POAS;8,14;375
;ALAJUELA-CACAO;6,44;340
;TACARES-GRECIA;8,56;325
;GRECIA-SARCHI;6,495;325
;SARCHI NORTE-SARCHI SUR;1,59;285
;NARANJO-GRECIA;13,32;520
;NARANJO-SARCHI;6,825;325
;NARANJO-DULCE NOMBRE;2,12;285
;TARIFA MINIMA;0;285
;;;
236;ALAJUELA-LA ARGENTINA DE GRECIA;(GPS);
;ALAJUELA-LA ARGENTINA;18,61;555
;ALAJUELA-LA CATALUÑA;13,92;480
;ALAJUELA-TACARES;11,08;480
;ALAJUELA-CARRILLOS DE POAS;8,45;370
;ALAJUELA-EL CACAO;6,6;335
;RINCON DE SALAS-LA ARGENTINA;1,85;295
;;;
283;SAN JOSE-GRECIA-SARCHI DE VALVERDE VEGA;(GPS);
;SAN JOSE-SARCHI DE VALVERDE VEGA;51,39;1110
;SAN JOSE-GRECIA;44,35;1080
;;;
1237;ALAJUELA-CARRILLOS DE POAS;(GPS);
;ALAJUELA-CARRILLOS DE POAS;10,83;310
;ALAJUELA-ENTRADA AL CACAO;6,6;310
;ALAJUELA-Bº SAN JOSE;3,1;310
;  EXT ALAJUELA-CALLE FLORES-LOS CHORROS;13,85;310
;;;
269;PALMARES-CANDELARIA;(GPS);
;PALMARES-CANDELARIA;5,35;220
;PALMARES-ZARAGOZA;1,6;220
;;;
1216;SAN JOSE-RINCON DE ZARAGOZA;(GPS);
;SAN JOSE-RINCON DE ZARAGOZA;61,5;1010
;;;
202;SAN JOSE-PALMARES;(GPS);
;SAN JOSE-PALMARES;57,3;875
;;;
