Ruta;Descripción;Km por Viaje;Tarifa Vigente
;SAN JOSE-PAVAS-ZONA 1;8,425;310
;SAN JOSE-PAVAS-ZONA 2;7,8;310
;SAN JOSE-PAVAS-BOULEVARD-HOSPITAL PSIQUIATRICO;7,935;310
;SAN JOSE-PAVAS-BOULEVARD-AEROPUERTO;8,395;310
;SAN JOSE-PAVAS-LOMAS DEL RIO;9,995;310
;;;
14 BS;SAN JOSE-PAVAS Y RAMALES (BUSETAS);(GPS);
;SAN JOSE-PAVAS-LOMAS DEL RIO;9,995;310
;;;
20;SAN JOSE-TIBAS-SANTO DOMINGO Y RAMALES;(GPS);
;SAN JOSE-FLORIDA POR TIBAS;4,745;240
;SAN JOSE-FLORIDA POR CRUCE;4,725;240
;SAN JOSE-BARRIO VIRGINIA;5,37;240
;SAN JOSE-JARDINES DE TIBAS;4,505;240
;SAN JOSE-CUATRO REINAS POR CRUCE;5,305;240
;SAN JOSE-CUATRO REINAS POR TIBAS;5,74;240
;SAN JOSE-EL INVU DE TIBAS;4,74;240
;SAN JOSE-BAJO PIUSES;2,82;240
;SAN LUIS-SANTO DOMINGO-SANTO TOMAS;9,5;235
;SAN JOSE-SAN LUIS POR SAN MIGUEL;11,94;350
;SAN LUIS POR SAN MIGUEL (MINIMA);0;235
;SAN JOSE-SAN LUIS-LAS JUNTAS POR PISTA;11,76;350
;SAN LUIS-LAS JUNTAS (MINIMA);0;235
;SAN JOSE-BARRIO SOCORRO POR PISTA;6,405;350
;SAN JOSE-SANTO DOMINGO-SANTA ROSA-MEGASUPER;10,84;330
;SAN JOSE-SANTO DOMINGO-SAN MARTIN;9,89;330
;SAN JOSE-SANTO DOMINGO-LA VIGUI;8,305;330
;SAN JOSE-SANTO DOMINGO-SANTO TOMAS;9,555;330
;SAN JOSE-SANTO DOMINGO-BARRIO LOURDES-QUEBRADAS;12,145;390
;SANTO DOMINGO-BARRIO LOURDES-QUEBRADAS;6;215
;SECTOR SUR-SENTIDO SUR NORTE (MEGASUPER) PERIFERICA;8,365;185
;SECTOR SUR-SENTIDO NORTE SUR (ENTRA A LA VIGUI) PERIFERICA;4,76;185
;SECTOR NORTE-SENTIDO SUR NORTE (MEGASUPER) PERIFERICA;3,77;185
;SECTOR NORTE-SENTIDO NORTE SUR (ENTRA A LA VIGUI) PERIFERICA;4,74;185
;;;
25;SAN JOSE-CALLE BLANCOS-SAN ANTONIO;(GPS);
;SAN JOSE-CALLE BLANCOS-SAN ANTONIO;5,755;280
;;;
30-31-32-33-34-35;SAN JOSE-GUADALUPE DE GOICOECHEA Y RAMALES;(GPS);
;SAN JOSE-GUADALUPE-EL ALTO;6;315
;SAN JOSE-GUADALUPE-EL ALTO-HELICONIAS;7,6;315
;SAN JOSE-GUADALUPE-Bº EL CARMEN;11,65;315
;SAN JOSE-GUADALUPE-Bº EL PILAR;6,8;315
;SAN JOSE-GUADALUPE-SAN ANTONIO;6,96;315
;SAN JOSE-GUADALUPE-PURRAL-LOS CUADROS;10,2;315
;SAN JOSE-GUADALUPE-PURRAL-KURU;8,1;315
;SAN JOSE-GUADALUPE-MOZOTAL;9,45;315
;;;
40 MB;SAN JOSE-MORAVIA Y RAMALES (MICROBUSES);(GPS);
;SAN JOSE-MORAVIA-JARDINES;8,15;355
;SAN JOSE-MORAVIA-SAN RAFAEL;8,865;355
;SAN JOSE-SAN ANTONIO DE CORONADO;10,6;355
;SAN JOSE-PURRAL-LA CHANITA;7,35;200
;SAN JOSE-Bº EL PILAR-LA ALONDRA;6,1;190
;;;
40-41-42;SAN JOSE-MORAVIA Y RAMALES;(GPS);
;SAN JOSE-MORAVIA-SAN BLAS-SAN RAFAEL;8,865;390
;SAN JOSE-MORAVIA-LA ISLA;9,43;390
;SAN JOSE-MORAVIA-LOS SITIOS;11,65;390
;SAN JOSE-SAN ANTONIO DE CORONADO-ROMILIOS;10,85;390
;SAN JOSE-DULCE NOMBRE DE CORONADO;12,2;390
;;;
43;SAN JOSE-PARACITO Y RAMALES;(GPS);
;SAN JOSE-MORAVIA-PARACITO;12,75;375
;SAN JOSE-MORAVIA-LA TRINIDAD;10,7;375
;SAN JOSE-MORAVIA-SAN JERONIMO;12,9;395
;SAN JOSE-MORAVIA-PLATANARES;13,65;395
;;;
44-45-47;SAN JOSE-IPIS DE GOICOECHEA Y RAMALES;(GPS);
;SAN JOSE-IPIS-FACIO-LA MORA-ZETILLAL;10,45;340
;SAN JOSE-VISTA DE MAR;13,6;340
;SAN JOSE-RANCHO REDONDO;19,25;410
;;;
50;SAN JOSE-SAN PEDRO Y RAMALES;(GPS);
;SAN JOSE-SAN PEDRO-LOURDES-SANTA MARTA;5,5;265
;SAN JOSE-LOURDES-SANTA MARTA-GUAYABOS;6,97;265
;SAN JOSE-MONTERREY-CEDROS;6,645;265
;SAN JOSE-LOURDES-CEDRAL;5,57;265
;SAN JOSE-SAN PEDRO-CALLE SILES;4,905;265
;SAN JOSE-CIPRESES DE CURRIDABAT;7,71;265
;SAN JOSE-SAN RAFAEL-SALITRILLOS;8,785;285
;SAN JOSE-GRANADILLA DE CURRIDABAT;8,455;285
;;;
60;SAN JOSE-CURRIDABAT x SAN PEDRO;(GPS);
;SAN JOSE-CURRIDABAT x SAN PEDRO;6,835;265
;;;
60 BS;SAN JOSE-CURRIDABAT x SAN PEDRO (BUSETAS);(GPS);
;SAN JOSE-CURRIDABAT x SAN PEDRO;6,835;265
;;;
63;SAN JOSE-Bº CORDOBA-Bº QUESADA DURAN;(GPS);
;SAN JOSE-Bº CORDOBA-Bº QUESADA DURAN;7,015;195
;;;
65 BS;SAN JOSE-CURRIDABAT x ZAPOTE (BUSETAS);(GPS);
;SAN JOSE-CURRIDABAT x ZAPOTE;7,225;235
;;;
